state,x,y
Andhra Pradesh,-89.0,-140.0
Arunachal Pradesh,211.0,94.0
Assam,158.0,64.0
Bihar,71.0,53.0	
Chhattisgarh,-27.0,-36.0
Delhi,-91.0,124.0	
Goa,-191.0,-128.0	
Gujrat,-226.0,18.0	
Haryana,-109.0,135.0
Himachal Pradesh,-85.0,189.0
Jharkhand,47.0,14.0
Jammu And Kashmir,-95.0,240.0	
Karnataka,-165.0,-156.0	
Kerala,-176.0,-234.0	
Madhya Pradesh,-86.0,20.0	
Maharastra,-170.0,-59.0	
Manipur,220.0,30.0	
Meghalaya,179.0,47.0	
Mizoram,209.0,6.0	
Nagaland,233.0,57.0	
Odisha,28.0,-53.0	
Punjab,-120.0,169.0	
Rajasthan,-167.0,90.0	
Sikkim,122.0,93.0	
Tamil Nadu,-107.0,-231.0
Telangana,-85.0,-89.0	
Tripura,153.0,13.0	
Uttar Pradesh,-22.0,81.0	
Uttarakhand,-54.0,151.0	
West Bengal,90.0,5.0
